Title,Author,Year,Updated,Tags
"Selene and Chandra","Hunter Crawford, Margarete Strawn",2011,"07/01/2015 - 13:01","mobile media, short story, thumb novel"
"The Carrier","Evan Young",2009,"10/24/2017 - 13:27","iphone, geolocation, serial distribution, graphic novel"
"Core Sample","Teri Rueb",2007,"07/01/2015 - 13:01","locative, geography"
"Ruben and Lullaby","Erik Loyer",2009,"11/08/2016 - 15:17","iphone, app, mobile, lovers, touch, haptic, game"
P.o.E.M.M.,"Jason Edward Lewis, Bruno Nadeau",2014,"12/13/2019 - 14:00","mobile, Java, poetry touch, interactive, haptic, poem, Broken Poems, stimulation, interface, kid talk, purple, Cherokee boy, California, Sundae"
"Fotomo Blues","Paul Trevor",1997,"09/23/2017 - 11:35","hypertext, e-poetry, digital poetry, hyperpoetry, satire"
"Being Human","Annie Abrahams",1997,"09/15/2019 - 16:28",
"Soft Cinema: Navigating the Database","Lev Manovich, Andreas Kratky",2005,"11/22/2017 - 17:05","narrative, ambient narrative, cinema, database"
"Shadows Never Sleep","Aya Natalia Karpinska",2008,"10/24/2017 - 13:26","visual poetry, iphone, non-linear, monochrome, iOS"
"Soft Cinema: Ambient Narrative","Lev Manovich",,"02/03/2012 - 16:25","ambient narrative, cinema"
[Murmur],"Robin Elliott",2003,"07/01/2015 - 13:01","documentary, geolocative, oral history, archive, locative, mobile media"
"LAT 23","LAT-23, Cláudio Bueno, Denise Agassi, Marcus Bastos, Nacho Duran",2010,"07/01/2015 - 13:01","cartography, geolocative"
Immobilité,"Mark Amerika",2011,"11/10/2016 - 14:51","mobile, video, narrative, iOS, iphone, touch"
"The Pines at Walden Pond","Deena Larsen",2000,"07/01/2015 - 13:01","hypertext, HTML, responsive"
"No Country For Old Men","Zehra Yousofi",2010,"07/01/2015 - 13:01",interactive
Robohand,"Josh White",2011,"07/01/2015 - 13:01",reinterpretation
Mapping,"Sylvia Tomayko-Peters",2011,"11/09/2020 - 14:23","interactive, HTML, javascript"
Collection,"Greg Philbrook",2011,"07/01/2015 - 13:01","narrative, video"
"Ten Mobile Texts","Nick Montfort",2008,"07/01/2015 - 13:01",SMS
Promise,"Michael J. Maguire",2008,"07/01/2015 - 13:01","place, Ireland, myth, personal narrative"
"endings eventually end","Jason Nelson, Davin Heckman",2008,"07/01/2015 - 13:01","fiction, satire, prophecy, time"
"Désir Insuffisant","Philippe Bootz",2005,"11/28/2015 - 11:17","parody, paratext, performance"
ID_Xor.cism_,"Mez Breeze",2005,"07/01/2015 - 13:01","internet art, code language, hypermedia poetry"
Imposition,"John Cayley",2007,"12/03/2015 - 16:18","generative, collective, multilingual, installation"
"Public Override Void","Jim Carpenter",2004,"07/01/2015 - 13:01","installation, generated poetry"
"Without a Trace","Jody Zellen",2008,"07/01/2015 - 13:01","image, Trace, comic, appropriation"
"Mesostics for Dick Higgins (Print)","mIEKAL aND",1998,"07/01/2015 - 13:01",
"Mesostics for Dick Higgins","mIEKAL aND",1998,"03/22/2017 - 14:12","elegy, mesostic"
"The Accidental Artist","Alan Sondheim",2009,"07/01/2015 - 13:01","virtual world, performance, exhibition"
"Erica T. Carter: The Collected Works","Jim Carpenter",2004,"07/01/2015 - 13:01","installation, generated poetry"
"Erica T. Carter Project","Jim Carpenter",2003,"07/01/2015 - 13:01","poetry generator, text generators, authoring software, software, generative"
"The Nowhere Dance","Alan Sondheim",2009,"07/01/2015 - 13:01","performance, virtual world"
"The End of Capitalism","Angela Ferraiolo",2009,"06/22/2017 - 17:32","Flash, critical/political/philosophical"
Tue-moi,"Eric Sérandour",1998,"07/01/2015 - 13:01",email
"Map of a Future War","Angela Ferraiolo",2008,"07/01/2015 - 13:01","maps, spatial, capitalism, collapse"
"Seedsigns for Philadelpho","mIEKAL aND",2001,"04/28/2016 - 17:06","elegy, poetry, music, lettrist, nature, language"
dbCinema,"Jim Andrews",2010,"07/01/2015 - 13:01","langu(im)age, image-processor, cinema, painting"
"popołudnie, pewna historia","Michael Joyce",2011,"10/26/2018 - 12:24","hypertext, fiction, tragedy, associative, indexing, narrative, trauma, video, catalog-entry, afternoon"
"Czarne Jagody","Susan Gibb",2012,"07/01/2015 - 13:01",hypertext
Blueberries,"Susan Gibb",2009,"07/01/2015 - 13:01","hypertext, tinderbox"
"Vive la Bagatelle","Richard Montoya",2011,"10/31/2018 - 10:52","futurism, Flash, e-poetry, kinetic poetry, Italian, The Airplane, prose, random, Italian Futurist Style, audio, interactive, Digital"
"Picking Petals","Mindy Lam",2011,"07/01/2015 - 13:01","Flash, poem"
Distraction,"Claire Kwong",2011,"07/01/2015 - 13:01","distraction, seearch, improvisation, blogging"
Transfixions,"Michael Hoffman",2011,"07/01/2015 - 13:01","blogging, live performance, interaction"
Circumstances,"Katie Campbell",2011,"07/01/2015 - 13:01","Flash, photoshop, poem"
>>oh,"Reiner Strasser, Dan Waber, Jennifer Hill-Kaucher",2005,"07/01/2015 - 13:01","cyberpoem, interactive, literary games, poem, audio"
Guantanamobile,"Lisa Lynch, Elena Razlogova",2004,"07/01/2015 - 13:01","vectors, documentary, website"
"Blue Velvet","David Theo Goldberg, Stefka Hristova",2006,"06/04/2016 - 16:26","documentary, non-fiction, vectors, New Orleans, hurricane, photography, maps, memory, ecology, nature, landscape, nostalgia, representation, policy, interactive essay, essay, humanities"
"Suicide in an Airplane","Brian Kim Stefans",2009,"07/01/2015 - 13:01","algorithmic poem, multimodal, poetry"
"Mythologies of Landforms and Little Girls","J. R. Carpenter",1996,"07/01/2015 - 13:01","hypertext, hypertext fiction, hypertext narrative, narrative, intertextuality, internet art, mapping, gender, early web, feminism"
"Shy Boy","Thomas Swiss",2002,"06/05/2021 - 15:09","Flash, e-poetry, digital poetry, multimodal"
"Red Lily","John Kusch",2000,"06/05/2021 - 13:10","e-poetry, Flash, multimodal, poetry"
"Whale Hunt","Jonathan Harris",2007,"07/01/2015 - 13:01","photography, multimodal, narrative"
"When I Was President","Alan Bigelow",2007,"06/04/2016 - 14:54","multimodal, narrative, politics, power, non-historical, archetype, metaphor, images, video, audio, appropriation, fiction"
"ABC LA: Portrait d'une ville en 26 lettres","Béatrice Mousli, Guy Bennett",2009,"07/01/2015 - 13:01","multimodal, narrative"
Typoems,"Ana María Uribe",1968,"10/27/2018 - 04:15","concrete poetry, typography"
"_:terror(aw)ed patches:_","Mez Breeze, Shane Hinton",2010,"03/30/2016 - 16:54","collaboration, transformation, live editing, expressive, fiction, geophysical, conversation, concurrency, playback, modification"
"The Walking Man","Will Luers",2008,"06/04/2016 - 16:11","documentary, video, city, pedestrian, cinema, collage"
Softies,"David Jhave Johnston",2009,"07/01/2015 - 13:01","animation, typography"
"Amanda Stories: Ten Children's Adventures by Amanda Goodenough","Amanda Goodenough",1991,"11/22/2017 - 14:56","cats, children, point-and-click, hypercard, CD-ROM, children's literature"
"Errand Upon Which We Came","Stephanie Strickland, M. D. Coverley",2000,"05/11/2021 - 19:42","animation, collaboration, interactive, kinetic, Shockwave, textual instrument, visual poetry"
"Seattle Drift","Jim Andrews",1997,"07/01/2015 - 13:01","e-poetry, digital poetry, irony, genre"
"The Quiddities","Joe Milutis",2011,"07/01/2015 - 13:01","digital humanities, creative non-fiction, online writing, experimental poetics, Shakespeare, datamining, print on demand, referentiality, performance, embodiment, noise"
"R, Adieu","Joe Milutis",2010,"07/01/2015 - 13:01","digital humanities, sound art, text-sound, conceptual essay, creative non-fiction, language games, linguistics, dada, Oulipo, poetry, sound"
"Extinction Elegies: a post-Fukushima interactive video-poem tht introduces mutations into the DNA of meaning.","David Jhave Johnston",2011,"06/04/2016 - 14:28","video, generative, extinction, elegy, mutation, environment, meaning, nonsense, ecological thought, ecocriticism, poetry, video poem"
"The Torrent","Joe Milutis",2009,"07/01/2015 - 13:01","collaboration, expanded fiction, print on demand, installation, blog, oblivion, video art, performance, remix, translation, intellectual property, authorship, virtual literature"
F2F,"Joe Milutis",2005,"07/01/2015 - 13:01","digital humanities, conceptual essay, situationist, Gilles Deleuze, hypertext, online video, Flash, film theory, creative non-fiction"
"Radiophonic Laura: Voice, Song, Information, Intelligence","Joe Milutis",2000,"07/01/2015 - 13:01","hypertext, online video, digital humanities, transmission art, essay/creative non-fiction"
"Marble Springs 1.0","Deena Larsen",1993,"11/22/2017 - 15:38","hypercard, hypertext, identity, 19th ct., american west"
"R3/\/\1X\/\/0RX - selected works","Randy Adams, Chris Joseph, Christine Wilks, Peter Ciccariello, Erik K Rzepka, Matina L Stamatakis, Ted Warnell",2012,"06/16/2016 - 19:45","animation, remix, collaboration, digital art, e-poetry, playable media, text, spoken word, music, visual poetry, code"
"Making Art Online","Judy Malloy",1991,"07/01/2015 - 13:01","collaboration, information art, narrative, artist statement"
"Invisible Seattle: The Novel of Seattle, by Seattle","Rob Wittig, Philip Wohlstetter",1983,"07/01/2015 - 13:01","collaboration, collective, bulletin board systems, constraint, database novel, remix"
"Whisper Wire","J. R. Carpenter",2010,"07/01/2015 - 13:01","generative, poetry generator, haunted media, media archaeology"
"A Party at Silver Beach","Judy Malloy",2002,"07/01/2015 - 13:01","DHTML, hypertext, love"
"Faen. Nå har de senket takhøyden igjen. Må huske å kjøpe nye knebeskyttere.","Tor Åge Bringsværd",1996,"12/09/2015 - 12:01","dictionary, HTML, science fiction, dystopic, satiric, over-population"
"Family Tree (DUPLICATE NEEDS DELETION BUT HAS INFO ABOUT OTHER LANGUAGE VERSIONS)","Rozalie Hirs",2006,"07/01/2015 - 13:01","image, mobile, family, genealogy"
Daily,"Rozalie Hirs",2011,"07/01/2015 - 13:01",
"Gabriella infinita","Jaime Alejandro Rodríguez",1997,"10/18/2016 - 16:29","hypertext, fiction, novel, video, audio, disappearance, evidence, escape, metafiction, adaptation, translation"
"21 días","Isaías Herrero Florensa",2006,"07/01/2015 - 13:01",
"Eidola Kosmos","Isaías Herrero Florensa",2008,"07/01/2015 - 13:01",
Kairos,"Isaías Herrero Florensa",2009,"07/01/2015 - 13:01",
"5000 palabras","Isaías Herrero Florensa",2011,"11/06/2018 - 15:41","Spanish Language Electronic Literature Collection, hypermedia, digital adaptation, art and technology"
Poemes,"Ester Xargay, Carles Hac Mor",,"10/24/2016 - 16:58",
"Generador de poemes catalans","Ramon Forns, Sergi Llorens",2011,"09/25/2017 - 15:05","generative, poetry, Catalonia"
Tetra,"Daniel Ruiz",,"09/25/2017 - 15:04",
Tantderêves,"Pedro Valdeolmillos",,"09/25/2017 - 15:04",
"Retorn a la Comallega","Ton Ferret",2006,"09/25/2017 - 15:03",
Projecte8,"Albert Ginestà",,"10/17/2017 - 15:19",
"PAC - Poesia Assistida per Computadora","Eugenio Tisselli",2006,"09/25/2017 - 15:03",generative
"Negative Space: A Computerized Video Novel (CD-ROM edition)","Holly Franking",1995,"07/01/2015 - 13:01","video, text, graphics"
"Nothing temps","Lluís Calvo",,"09/25/2017 - 15:02",
"Jardins de plàstic I","Isaías Herrero Florensa",2008,"09/25/2017 - 15:01",
"Negative Space: a Computerized Video Novel","Holly Franking",1990,"09/25/2017 - 15:00","video, text, graphics"
Everglade,"Rod Willmot",1989,"09/25/2017 - 15:00","hypertext, poem"
"Ja tornaré","Marc Lloan",2005,"09/25/2017 - 14:59",
"A Life Set for Two","Robert Kendall",1996,"10/25/2018 - 14:32","hypertext, poetry, Visual Basic, memory, regret, animation, narration, love, story, belonging, affiar"
Isopoema,"Lluís Calvo, Pedro Valdeolmillos",,"09/25/2017 - 14:58",
"Intermínims de navegació poètica","Ramon Dachs",,"09/25/2017 - 14:58",
"Deus Ex Machina","Isaías Herrero Florensa",2009,"09/25/2017 - 14:57",
Caosflor,"Pedro Valdeolmillos",2011,"09/25/2017 - 14:56","kinetic poetry, depth"
Caminant,"J.M. Calleja",,"09/25/2017 - 14:56",
"The Apostrophe Engine","Bill Kennedy, Darren Wershler-Henry",2006,"09/25/2017 - 14:55","generative, poetry"
"Like Stars in a Clear Night Sky","Sharif Ezzat",2006,"09/25/2017 - 14:54","audio, Flash, multilingual"
"Earthbound: Surfing the Apocalypse","Per Martinsen",2010,"09/25/2017 - 14:53","transmedial, science fiction, blog, installation, sticker, music, novel"
"8 Brincadeiras para Salette Tavares","Rui Torres",2010,"06/14/2018 - 14:40","aleatory, appropriated texts, code, digital poetry, experimental literature, Flash, generative poetry, intertextuality, poetry generator"
"Um Corvo Nunca Mais","Rui Torres",2009,"07/01/2015 - 13:01","aleatory, animated text, code, digital poetry, experimental literature, Flash, generative poetry, immersion, interactive poetry, poetry generator, sound"
"Do Peso e da Leveza","Rui Torres",2009,"07/01/2015 - 13:01","aleatory, animated text, code, digital poetry, experimental literature, Flash, generative poetry, immersion, interactive poetry, poetry generator, sound"
"Streamflow conditions","Rui Torres",2009,"09/25/2017 - 14:52","aleatory, animated text, code, digital poetry, experimental literature, Flash, generative poetry, immersion, interactive poetry, poetry generator, sound"
"Amor de Clarice (v. 2). Versão Combinatória","Rui Torres",2008,"11/22/2019 - 18:40","aleatory, appropriated texts, code, digital poetry, Flash, generative poetry, interactive poetry, intertextuality, poetry generator, sound"
"Húmus poema contínuo","Rui Torres",2008,"07/01/2015 - 13:01","aleatory, appropriated texts, code, digital poetry, experimental literature, Flash, generative poetry, interactive poetry, intertextuality, poetry generator, sound"
"Poemário - Editor de poesia combinatória","Rui Torres, Nuno F. Ferreira",2008,"02/21/2021 - 21:22","aleatory, code, digital poetry, Flash, generative poetry, interactive poetry, networked poetry, poetry generator, software, sound, user-generated texts"
"Poemário - Blog de poesia combinatória","Rui Torres, Nuno F. Ferreira",2008,"10/25/2018 - 14:14","collaboration, code, digital poetry, blog, generative poetry, networked poetry, poetry generator, user-generated texts, community, text generation, real-time poem"
"Poemas encontrados","Rui Torres",2006,"10/25/2018 - 14:16","aleatory, appropriated texts, code, digital collage, ephemerality, Flash, networked poetry, Portugeuse, Portuguese poetry, ActionScript"
"Mar de Sophia","Rui Torres",2004,"07/01/2015 - 13:01","collaboration, aleatory, animated text, appropriated texts, code, cybertext, digital poetry, e-poetry, Flash, generative poetry, interactive poetry, intermediality, intertextuality, kinetic poetry, new media poetry, poetry generator, sound"
"Amor-mundo, ou a vida, esse sonho triste (cn)","Rui Torres",2006,"10/25/2018 - 13:57","aleatory, animated text, sound, code, Flash, intertextuality, digital poetry, visual, audio, portuguese, Florbela Espanca"
"Amor-mundo, ou a vida, esse sonho triste","Rui Torres",2006,"10/25/2018 - 13:56","aleatory, animated text, sound, code, Flash, intertextuality, visual, audio, Portugeuse, Florbela Espanca"
"Tema procura-se","Rui Torres",2004,"10/25/2018 - 14:21","aleatory, code, ephemerality, Flash, interactive, audio, adaptive, generating, portuguese, poetry, generative poetry, animated poetry"
"Excerpts from the Chronicles of Pookie & JR","J. R. Carpenter",2009,"10/26/2018 - 13:12","generative fiction, generative narrative, narrative, generator, Python, javascript, dialogue, remix, translation, sequences"
"The Life of the City of the Mind","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2011,"09/25/2017 - 14:48","Flash, experimental cinema, jazz, narrative"
"Inanimate Alice, Episode 1: China","Kate Pullinger, Chris Joseph",2005,"06/05/2021 - 13:45","audio, children's literature, collaboration, fiction, Flash, network forms, place"
"A Slow Year: Game Poems","Ian Bogost",2010,"10/19/2017 - 13:34","haiki, video games, digital poetry, literary games, game, educational game, digital art"
"En million historier","Peter Adolphsen",2007,"07/01/2015 - 13:01","generative fiction, danish, Scandinavian, digital narrative"
"De anderen hebben het gedaan (The others did it)","Jan Baeke, Alfred Marseille",2011,"09/25/2017 - 14:46",
"Gentleman Fight Night","Nick J. Swarth, Jeroen de Leijer",2010,"10/26/2017 - 10:55","poetry, video poetry, animation, adaptation, YouTube, sharingplatform"
"Start at the End: a Hypertext Fiction","Philipp Hofmann",2001,"09/25/2017 - 14:45","hypertext fiction, tragedy"
"Jacques Brel op 8 april 1929 bij zijn geboorte Avenue du Diamant 138, Schaerbeek","Frans Budé",2009,"09/25/2017 - 14:45",video
"What we had has not yet been / Wat we hadden is nog niet geweest","Jan Baeke, Alfred Marseille",2007,"10/26/2017 - 11:30","video, sharingplatform"
"INJECTIES (INJECTIONS)","Paul Bogaert",2010,"09/25/2017 - 14:43",video
"Je liegt en je filtert ... (You're lying and you filter ...)","Paul Bogaert",2006,"11/25/2019 - 00:27","video, audio, scheduled"
"Slaaplied (Lullaby)","Tonnus Oosterhoff",2006,"09/25/2017 - 14:40","Flash, music, death, consciousness, poetry"
"Slechte adem in de mist (Bad breath in the mist)","Tonnus Oosterhoff",2011,"09/25/2017 - 14:40",Flash
"Ondertussen in Taylor, Nebraska","Frans Budé",2008,"09/25/2017 - 14:39",
"Je ziet hier iedereen voorbijkomen, de Westerparkse gedichten","Hans Kloos",2010,"11/28/2015 - 11:16","Flash, animation, map, spatial, Amsterdam, CD-ROM, audio, voice"
"Look, here she lies (Kijk, hier ligt ze)","Hans Kloos",2009,"09/25/2017 - 14:38","Flash, interactive, legibility, kinetic"
"svevedikt (""poetry floating in the air"")","Ottar Ormstad",2006,"08/14/2018 - 05:08","kinetic poetry, concrete poetry, digital concrete poetry, lettrist, Flash"
"Ideas of Beauty: Conversations","Shandra Lamaute",2011,"10/17/2017 - 15:18",audio
Urbanalities,"Chris Joseph, escha",2005,"09/25/2017 - 14:36","animation, audio, collaboration, Flash, generative, music, visual poetry or narrative"
myBALL,"Shawn Rider",2002,"09/25/2017 - 14:36","Flash, network forms, parody/satire"
Oulipoems,"Millie Niss, Martha Deed",2004,"11/09/2016 - 16:41","constraint, audio, collaboration, combinatorial, Flash, games, generative, place, poetry, game, creative language, interactive poetry, digital art"
"Jean-Pierre Balpe ou les Lettres Dérangées","Patrick-Henri Burgaud",2005,"11/09/2016 - 16:22","animation, Flash, multilingual, ALAMO, games, time-based, kinetic, game, creative language, digital art"
"An Evening In Front Of The Box","Gerald Smith",2011,"07/01/2015 - 13:01",
Noise,"Gerald Smith",2011,"10/17/2017 - 15:17","digital poetry, concrete poetry"
"La plissure du texte","Roy Ascott",1983,"09/25/2017 - 14:33","collaboration, narrative, fairy-tale"
"Droites et Courbes / Lines and Curves","Patrick-Henri Burgaud",2009,"10/17/2017 - 15:15",
"Car Wash","Megan Sapnar",2000,"09/25/2017 - 14:31","Flash, father, image and text, audio, music, death, loss, mourning"
"Orient (Japanese)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 14:31","Flash, experimental cinema"
"Orient (Korean)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 14:30","Flash, experimental cinema"
"Confucius Say","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2006,"09/25/2017 - 14:30","Flash, experimental cinema"
"Confucius Say","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2006,"08/26/2019 - 13:16",
"Bodies of Water","David Clark, Nick Rudnicki",2011,"09/25/2017 - 14:29",
"To Be or Not To Be Mouchette","Martine Neddam",2007,"09/25/2017 - 14:28","Flash, responsive, poetry, virtual character"
"Turkmenbashi, mon amour","Martine Neddam",2011,"09/25/2017 - 14:27","animation, Flash"
"Riviera (Chinese)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"11/04/2018 - 14:51","experimental cinema, Flash, chinese characters"
"Declaracion De Artista","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 14:27","experimental cinema, Flash"
"Declaration D'Artiste Numero 45.730.944: Les Parfait Web Site Artistique","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 14:26","experimental cinema, Flash"
"Artist's Statement No. 45,730,944: The Perfect Artistic Website (Korean)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2000,"09/25/2017 - 14:26","experimental cinema, Flash"
"Samsung Veut Dire Jouir","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 14:25","experimental cinema, Flash"
"Samsung Means to Come (Korean)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:57","experimental cinema, Flash"
"Samsung (Tango Version)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:56","experimental cinema, Flash"
"Samsung (Spanish)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:56","experimental cinema, Flash"
"Samsung (German)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:55","experimental cinema, Flash"
"Samsung (French)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:54","experimental cinema, Flash"
"Samsung (Korean)","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:54","Flash, experimental cinema"
chatpoetry,"Nelli Rothvee",1997,"09/25/2017 - 13:53",
"altavista words","Nelli Rothvee",1997,"09/25/2017 - 13:52",
"Net poetry","Nelli Rothvee",1997,"09/25/2017 - 13:46",
Trepp,"Hasso Krull",1996,"09/25/2017 - 13:46",
"Scrape Scraperteeth","Jason Nelson",2011,"09/25/2017 - 13:45",
Goggi,"Jón Örn Loðmfjörð",2008,"07/01/2015 - 13:01","google poem, API, real-time poem"
"Landskaber omkring digtet kompas","Morten Søndergaard",2000,"07/01/2015 - 13:01","Scandinavian, danish, poetry, nature, navigation, maps, multimodal texts"
"Under Language","Stuart Moulthrop",2007,"06/05/2021 - 13:29",
"Rehearsal of Memory","Graham Harwood",1995,"07/01/2015 - 13:01","amnesia, memory, insanity"
"Archives Zaroum","Cia Rinne",2008,"07/01/2015 - 13:01","typography, kinetic poetry"
Muds,"David Jhave Johnston",2009,"09/25/2017 - 13:39",
"Notes Toward Absolute Zero","Tim McLaughlin",1995,"12/24/2019 - 23:37","hypertext, fiction, quest narrative"
"Turning In","Wes Chapman",1997,"09/25/2017 - 13:34","hypertext, fiction"
WOE,"Michael Joyce",1991,"09/25/2017 - 13:30","fiction, hypertext"
"A Luta Continua","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"06/14/2018 - 14:46","Flash, experimental cinema"
"La Lucha Continua","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"11/20/2017 - 17:02","Flash, experimental cinema"
"La Lutte Continue","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2000,"09/25/2017 - 13:28","Flash, experimental cinema"
Toojeing,"Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:28","Flash, experimental cinema"
"Death Becomes the Artist","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"09/25/2017 - 13:27","Flash, experimental cinema"
"I'm Sucking on a Tailpipe in Seoul","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2008,"09/25/2017 - 13:15","Flash, experimental cinema, environmentalism"
"Résumé I?","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2007,"10/01/2017 - 23:07",Flash
Credits,"Young-Hae Chang, Young-Hae Chang Heavy Industries, Marc Voge",2001,"10/01/2017 - 23:07","Flash, credits"
"Urgent Request","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:06","Flash, spam, donation"
"What's Your Nationality?","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:06",Flash
"If I Were You I'll Go to the Palace","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:06",
"Statement 63: After Recent Surgery on my Scalp","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:05",Flash
"Statement 29: To My Good And Loyal Subjects","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:05",Flash
"Your Job Won't Stand a Chance","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 23:05",Flash
Halbeath,"Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2003,"10/01/2017 - 23:04",Flash
"Boogie-Woogie Wonderland","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2003,"10/01/2017 - 23:04",Flash
Funk,"Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2001,"10/01/2017 - 23:04",Flash
"First Workshop Ever","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2008,"10/01/2017 - 23:03",Flash
"Brown House Kitchen","Judy Malloy",1993,"10/01/2017 - 23:03","interactive fiction, moo, generative"
"Mountain Rumbles","Deena Larsen",1999,"12/07/2016 - 15:37","hypertext, fiction, microhypertext"
"I know that somewhere this is a homage some where","Adrian Miles",1999,"10/01/2017 - 23:02","cinepoem, video, flashback"
"City of Angles and Anguish","David Herrstrom",1999,"10/01/2017 - 23:01","hypertext, poetry"
"Light-Water: a Mosaic of Meditations","Christy Sheffield Stanford",1999,"10/01/2017 - 23:00","hypermedia, poetry, image and text"
"Nightmare Wanders Father's Song","Curtis Harrell",1998,"10/01/2017 - 22:59","hypertext, poetry, hidden links, lyric"
"Virtual Reality Exhibit at the Singapore Museum","David Herrstrom",1997,"10/01/2017 - 22:59","hypertext, poetry, virtual reality"
"What is an Intellectual?","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2008,"10/01/2017 - 22:58",Flash
"Cultural Identity, Nothingness and Loneliness","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2006,"10/01/2017 - 22:58","Flash, presentation"
"Sydny 5000","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:58",Flash
fleshtresholdnarrative,"Eugene Thacker",1996,"10/01/2017 - 22:57","hypertext, remix, appropriation"
"To Find the White Cat in the Snow","David Herrstrom",1996,"10/01/2017 - 22:57","hypertext, poetry"
"How Am I Not Myself","Jason Huff",2011,"07/01/2015 - 13:01","identity, play, wikipedia, mechanical turk, remix"
"Suits: A Narrative of About Twenty-Seven Hours, More or Less","Jennifer Roudabush",2011,"10/25/2018 - 14:18","narrative, non-linear, loss, memory, death, randomness, sound, nature, self-narratives, vignettes, media art"
Missy,"Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:56","experimental cinema, Flash, audio narrator"
Genius,"Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:55","experimental cinema, Flash, audio narrator"
"Beyond Truth and Reason","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:55","experimental cinema, Flash, audio narrator"
"Hey, Where'd All the Smart Guys Go?","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:54","experimental cinema, Flash, audio narrator"
Spamology,"Irad Lee",2007,"10/01/2017 - 22:54","spam, visualization, 3D, relationships, patterns, trends"
"Am I All Alone Here?","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:53","experimental cinema, Flash, audio narrator"
"This is Not a Joke","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:52","experimental cinema, Flash, audio narrator"
"Please Don't Thank Me","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",,"10/01/2017 - 22:52","experimental cinema, Flash"
"Reboot The Universe Now: A Propositional Poem for World Peace","David Jhave Johnston",2010,"10/01/2017 - 22:52","rhetoric, suffering, speed reading, generative"
"Please Come Play with Me, Baby","Young-Hae Chang Heavy Industries, Young-Hae Chang, Marc Voge",2010,"10/01/2017 - 22:51","experimental cinema, Flash"
